cell,arc,meas,slew_idx,load_idx,slew,load,v0,sigma_local,sigma_local_rel,sigma_vth,sigma_u0
NOR2_X1,B_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,6.517974e-11,4.030150e-12,6.183133e-02,3.196968e-12,2.453876e-12
NOR2_X1,B_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,4.340365e-11,3.206391e-12,7.387377e-02,2.971927e-12,1.203574e-12
NOR2_X1,B_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,2.594694e-11,4.156577e-13,1.601953e-02,1.476631e-13,3.885446e-13
NOR2_X1,B_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,5.819326e-11,3.410737e-12,5.861052e-02,3.105222e-12,1.410931e-12
NOR2_X1,B_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,3.582915e-11,7.361654e-13,2.054655e-02,3.397244e-13,6.530902e-13
NOR2_X1,B_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,8.748795e-11,4.745989e-12,5.424734e-02,4.194784e-12,2.219955e-12
NOR2_X1,B_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,6.636774e-11,3.441010e-12,5.184763e-02,2.641277e-12,2.205495e-12
NOR2_X1,B_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,2.487202e-11,8.527154e-13,3.428412e-02,6.261331e-13,5.788617e-13
NOR2_X1,B_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,2.720957e-11,9.153126e-13,3.363936e-02,5.230680e-13,7.511305e-13
NOR2_X1,B_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,4.007126e-11,1.395554e-12,3.482681e-02,9.987257e-13,9.747401e-13
NOR2_X1,B_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,4.808003e-11,1.626896e-12,3.383725e-02,9.700775e-13,1.306040e-12
NOR2_X1,B_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,7.980863e-11,2.833337e-12,3.550163e-02,1.982412e-12,2.024313e-12
NOR2_X1,B_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,1.029925e-10,3.526127e-12,3.423673e-02,2.179212e-12,2.772112e-12
